id,name,description,source_page
governance,"Utawala Bora na Haki","Ukatiba, utawala wa sheria, haki za binadamu na mfumo wa haki unaofikika.",13
local-gov,"Serikali za Mitaa Imara na Zenye Ufanisi","Serikali za mitaa zenye uwezo na uwajibikaji zinazopeleka huduma karibu na wananchi.",15
public-service,"Utumishi wa Umma Wenye Uwajibikaji","Utumishi wa umma wenye ufanisi, maadili na uwajibikaji unaotoa matokeo.",16
peace,"Amani, Usalama na Utulivu","Amani, usalama na umoja wa kitaifa endelevu kama msingi wa maendeleo yote.",17
