sector,indicator,baseline_value,baseline_year,target_value,target_year,unit,source_page
agriculture,Mchango kwenye pato la taifa,26.5,2024,,2050,% ya pato la taifa,52
agriculture,Sehemu ya nguvu kazi iliyoajiriwa,65,2024,,2050,% ya nguvu kazi,52
agriculture,Sehemu ya mauzo ya nje,30,2024,,2050,% ya mauzo ya nje,52
tourism,Sehemu ya mauzo ya nje,25,2024,,2050,% ya mauzo ya nje,52
manufacturing,Mchango kwenye pato la taifa,8.1,2024,,2050,% ya pato la taifa,53
manufacturing,Kasi ya ukuaji wa mwaka,8,2024,,2050,% kwa mwaka,53
mining,Mchango kwenye pato la taifa,9,2024,,2050,% ya pato la taifa,54
