id,step,name,description,source_page,basis
strategic,1,Strategic Direction and Prioritisation,Focuses Cabinet attention on the highest-impact national priorities.,8,Documented
labs,2,Delivery Labs for Implementation Planning,"Translate national priorities into actionable, sequenced implementation pathways with clear programme and project milestones.",8,Documented
performance,3,Performance Management and Results Delivery,"Tracks progress, identifies constraints, and supports the timely resolution of implementation challenges.",8,Documented
