id,segment,intent,goal,source_page
public,General public,Awareness and inclusion,Participation in development initiatives,9
youth,Youth (18-35),Innovation and ownership,Skills uptake and entrepreneurship,9
private,Private sector,Economic driver,Investment and expansion,9
government,Government institutions,Execution engine,Alignment and coordinated delivery,9
media,Media and influencers,Amplification,Agenda shaping and public influence,9
partners,Development partners,Strategic support,Financing and advocacy,9
