year,phase,title,description,pillar_id,source_page
2000,Baseline,Starting point,"Per capita income US$453; extreme poverty 36%; maternal mortality 750 per 100,000; life expectancy 51 years.",,3
2020,Milestone,Lower-middle-income status,"Tanzania attains lower-middle-income status in July 2020.",economy,3
2024,Progress,Latest measured baseline,"Per capita income about US$1,277 (2023); extreme poverty 26%; primary enrolment 98%; manufactured exports US$1.4bn.",,4
2024,Infrastructure,Julius Nyerere Hydropower,"The Julius Nyerere Hydropower Project adds 2,115 MW to the national grid.",economy,50
2025,Launch,Dira 2050 adopted,"The Tanzania Development Vision 2050 is launched, setting the 25-year national direction guided by a 25-year Long-Term Perspective Plan (LTPP).",,1
2050,Target,The Tanzania we want,"One-trillion-dollar economy, US$7,000 per capita, upper-middle-income status, 118m+ people, high quality of life for all.",economy,9
