sector,indicator,baseline_value,baseline_year,target_value,target_year,unit,source_page
agriculture,Share of GDP,26.5,2024,,2050,% of GDP,57
agriculture,Share of workforce employed,65,2024,,2050,% of workforce,57
agriculture,Share of export earnings,30,2024,,2050,% of exports,57
tourism,Share of export earnings,25,2024,,2050,% of exports,57
manufacturing,Share of GDP,8.1,2024,,2050,% of GDP,58
manufacturing,Annual growth rate,8,2024,,2050,% per year,58
mining,Share of GDP,9,2024,,2050,% of GDP,59
